Date,RowsKept
199306,146
199311,144
199406,146
199411,153
199506,137
199511,151
199606,138
199611,139
199706,133
199711,134
199806,113
199811,100
199906,80
199911,84
200006,82
200011,94
200106,97
200111,88
200206,97
200211,101
200306,115
200311,108
200406,94
200411,80
200506,92
200511,72
200606,83
200611,86
200706,91
200711,87
200806,98
200811,93
200906,80
200911,79
201006,79
201011,80
201106,79
201111,75
201206,98
201211,97
201306,87
201311,83
201406,84
201411,88
201506,115
201511,110
201606,94
201611,95
201706,95
201711,76
201806,64
201811,58
201906,59
201911,57
202006,63
202011,66
202106,73
202111,76
202206,86
202211,87
202306,94
202311,99
202406,103
202411,111
202506,120
202511,124
