List,Date,Total_Systems,Systems_With_Accelerator,Arch_MPP,Arch_Cluster,Arch_Constellation,Arch_SMP,Arch_Other,Arch_Unknown,CPU_AMD,CPU_Intel,CPU_IBM_Power,CPU_NVIDIA_Grace,CPU_Other,CPU_Unknown,GPU_NVIDIA,GPU_AMD,GPU_Intel,GPU_Other
TOP500_201106,201106,421,11,65,354,2,0,0,0,45,340,33,0,3,0,8,0,0,3
TOP500_201111,201111,425,29,70,354,1,0,0,0,46,336,39,0,4,0,27,0,0,2
TOP500_201206,201206,402,41,68,334,0,0,0,0,42,314,41,0,5,0,38,0,0,3
TOP500_201211,201211,403,41,65,338,0,0,0,0,45,315,38,0,5,0,35,1,3,2
TOP500_201306,201306,413,30,60,353,0,0,0,0,34,345,30,0,4,0,24,1,5,0
TOP500_201311,201311,417,30,54,363,0,0,0,0,30,356,28,0,3,0,22,1,7,0
TOP500_201406,201406,416,35,51,365,0,0,0,0,22,365,27,0,2,0,27,1,7,0
TOP500_201411,201411,412,41,54,358,0,0,0,0,20,361,29,0,2,0,28,2,10,1
TOP500_201506,201506,385,48,51,334,0,0,0,0,17,337,25,0,6,0,29,2,14,3
TOP500_201511,201511,390,59,54,336,0,0,0,0,16,349,19,0,6,0,42,2,13,2
TOP500_201606,201606,406,58,51,355,0,0,0,0,11,371,17,0,7,0,44,2,10,2
TOP500_201611,201611,405,56,50,355,0,0,0,0,6,376,16,0,7,0,44,1,10,1
TOP500_201706,201706,405,57,51,354,0,0,0,0,5,377,16,0,7,0,48,1,6,2
TOP500_201711,201711,424,77,47,377,0,0,0,0,4,402,11,0,7,0,67,0,5,5
TOP500_201806,201806,436,88,49,387,0,0,0,0,2,417,10,0,7,0,79,0,4,5
TOP500_201811,201811,442,120,46,396,0,0,0,0,3,423,9,0,7,0,112,0,4,4
TOP500_201906,201906,441,114,40,401,0,0,0,0,3,423,10,0,5,0,108,0,4,2
TOP500_201911,201911,443,123,38,405,0,0,0,0,6,422,10,0,5,0,115,0,4,4
TOP500_202006,202006,437,120,36,401,0,0,0,0,9,415,8,0,5,0,111,0,4,5
TOP500_202011,202011,434,124,32,402,0,0,0,0,17,402,6,0,9,0,118,0,2,4
TOP500_202106,202106,427,124,36,391,0,0,0,0,36,376,5,0,10,0,118,0,2,4
TOP500_202111,202111,424,124,36,388,0,0,0,0,57,353,4,0,10,0,117,0,2,5
TOP500_202206,202206,414,137,42,372,0,0,0,0,70,330,4,0,10,0,124,6,2,5
TOP500_202211,202211,413,143,45,368,0,0,0,0,75,323,4,0,11,0,130,7,2,4
TOP500_202306,202306,406,144,47,359,0,0,0,0,90,302,4,0,10,0,130,8,2,4
TOP500_202311,202311,401,142,49,352,0,0,0,0,106,279,4,0,12,0,127,8,4,3
TOP500_202406,202406,397,141,53,344,0,0,0,0,117,258,4,5,13,0,124,11,3,3
TOP500_202411,202411,389,147,54,335,0,0,0,0,120,248,3,5,13,0,127,15,3,2
TOP500_202506,202506,380,164,59,321,0,0,0,0,127,231,3,6,13,0,137,22,3,2
TOP500_202511,202511,376,176,55,321,0,0,0,0,131,221,3,9,12,0,148,25,2,1
