Date,Gigabit Ethernet,Infiniband,Omnipath,Other
201006,4,54,0,21
201011,4,57,0,19
201106,2,57,0,20
201111,2,57,0,16
201206,1,70,0,27
201211,1,69,0,27
201306,0,61,0,26
201311,0,57,0,26
201406,0,60,0,24
201411,0,64,0,24
201506,0,89,0,26
201511,0,88,0,22
201606,0,73,0,21
201611,0,60,14,21
201706,0,56,19,20
201711,0,44,14,18
201806,0,36,12,16
201811,0,28,16,14
201906,0,27,23,9
201911,0,29,23,5
202006,1,31,26,5
202011,1,36,24,5
202106,3,43,21,6
202111,5,45,20,6
202206,7,54,19,6
202211,9,54,18,6
202306,8,63,18,5
202311,11,68,15,5
202406,12,73,14,4
202411,13,82,13,3
202506,18,86,13,3
202511,21,89,11,3
