List,Date,Count,Lowest,Q25,Median,Q75,Highest,Mean,Top_System_Power
TOP500_200806,200806,205,18.97,74.64,196.3,280.74,2345.5,255.45678048780485,2345.5
TOP500_200811,200811,211,26.38,133.93,252.0,338.69,6950.6,368.05981042654025,2483.47
TOP500_200906,200906,200,63.0,144.9,205.9,363.88,6950.6,393.7388,2483.47
TOP500_200911,200911,199,59.49,140.0,209.0,337.345,6950.6,402.89095477386934,6950.6
TOP500_201006,201006,220,57.54,160.5475,202.3,303.4,6950.6,392.6259545454546,6950.6
TOP500_201011,201011,224,38.8,174.615,217.7,320.11,6950.6,467.4737946428572,4040.0
TOP500_201106,201106,236,38.8,210.3575,284.245,409.62,9898.56,545.9664830508474,9898.56
TOP500_201111,201111,249,38.67,248.03,335.7,475.0,12659.89,587.4611244979919,12659.89
TOP500_201206,201206,234,41.09,309.33750000000003,393.65,500.5425,12659.89,688.5026923076923,7890.0
TOP500_201211,201211,224,41.09,288.04999999999995,421.48,553.5225,12659.89,719.9012946428572,8209.0
TOP500_201306,201306,193,82.19,289.0,454.21,648.28,17808.0,892.1110880829016,17808.0
TOP500_201311,201311,198,74.0,181.48250000000002,463.85,707.9625000000001,17808.0,864.9704545454547,17808.0
TOP500_201406,201406,210,54.6,223.245,512.15,776.7,17808.0,864.1515238095238,17808.0
TOP500_201411,201411,198,46.46,224.35000000000002,477.575,777.6,17808.0,907.1408080808081,17808.0
TOP500_201506,201506,159,46.46,221.53,390.07,918.285,17808.0,1009.951823899371,17808.0
TOP500_201511,201511,170,55.0,247.42000000000002,443.2,985.5,17808.0,998.2388823529411,17808.0
TOP500_201606,201606,162,46.89,247.72000000000003,500.0,995.25,17808.0,1130.83487654321,15371.0
TOP500_201611,201611,349,77.0,480.0,800.3,1800.0,17808.0,1536.7869627507162,15371.0
TOP500_201706,201706,405,32.8,544.0,896.0,1359.38,17808.0,1381.5726666666667,15371.0
TOP500_201711,201711,238,47.03,474.0,900.0,1688.1,17808.0,1609.0583613445378,15371.0
TOP500_201806,201806,208,46.6,525.9000000000001,930.0,1664.3000000000002,18482.0,1708.7206730769233,8805.5
TOP500_201811,201811,192,60.4,528.85,942.365,1691.7975000000001,18482.0,1823.3222916666666,9783.0
TOP500_201906,201906,172,97.0,594.4225,998.5,1660.7325,18482.0,1922.6666860465116,10096.0
TOP500_201911,201911,182,80.17,529.25,845.0,1423.54,18482.0,1641.6686263736265,10096.0
TOP500_202006,202006,173,76.8,558.6,917.0,1465.78,28334.5,1783.2712138728323,28334.5
TOP500_202011,202011,156,65.39,576.075,960.0,1511.7000000000003,29899.23,1884.499807692308,29899.23
TOP500_202106,202106,142,61.36,600.0,1075.0,1618.83,29899.23,2196.5719718309856,29899.23
TOP500_202111,202111,140,21.59,568.77,1075.0,1606.49,29899.23,2016.304785714286,29899.23
TOP500_202206,202206,144,53.29,564.7725,1075.0,1640.0,29899.23,2133.781736111111,21100.0
TOP500_202211,202211,147,31.31,555.215,1000.0,1612.6599999999999,29899.23,2103.6850340136057,21100.0
TOP500_202306,202306,135,44.07,555.215,997.0,1663.5,29899.23,2229.5933333333332,22703.0
TOP500_202311,202311,133,44.07,608.0,1200.0,1800.0,29899.23,2561.5581954887216,22703.0
TOP500_202406,202406,134,44.07,582.5,1200.0,1791.055,38698.36,2671.027014925373,22786.0
TOP500_202411,202411,134,44.07,609.7175,1206.255,1791.055,38698.36,2853.3761194029853,29580.98
TOP500_202506,202506,146,44.07,475.95500000000004,1182.205,1792.5,38698.36,2780.2717808219177,29580.98
TOP500_202511,202511,130,44.07,413.0875,1122.01,1768.555,38698.36,2700.343076923077,29684.62
